16:19:37 [WARN] Thread 2: Fetch fails: crate 7017 selectors-bloom, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7018 native-windows-gui, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7019 xpm, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7020 dot_vox, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7021 coll, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7023 textile, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7025 string_cache_codegen, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7027 amf, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7028 moonlander-gp, Download error.
16:19:37 [WARN] Thread 2: Fetch fails: crate 7029 partsong, Download error.
